frame,time_s,vehicle_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence
0,0.0,1,car,737.2,404.1,794.2,459.2,765.7,431.7,0.775
0,0.0,2,car,376.4,413.4,433.8,464.3,405.1,438.9,0.723
0,0.0,3,car,856.3,435.1,929.8,497.8,893.1,466.4,0.718
0,0.0,4,car,535.3,361.9,574.8,400.2,555.0,381.0,0.624
0,0.0,5,truck,751.3,272.6,807.9,331.1,779.6,301.8,0.617
0,0.0,6,car,298.3,668.7,440.9,719.6,369.6,694.1,0.609
0,0.0,7,car,202.3,440.6,294.8,497.8,248.6,469.2,0.512
0,0.0,8,car,678.4,304.8,704.8,327.5,691.6,316.2,0.458
1,0.033,1,car,737.2,404.1,794.2,459.2,765.7,431.7,0.775
1,0.033,2,car,376.3,413.3,433.8,464.4,405.1,438.8,0.724
1,0.033,3,car,856.4,435.1,929.8,497.8,893.1,466.4,0.717
1,0.033,4,car,535.3,361.9,574.8,400.2,555.0,381.1,0.624
1,0.033,5,truck,751.3,272.6,807.9,331.1,779.6,301.8,0.62
1,0.033,6,car,298.3,668.7,440.8,719.6,369.6,694.1,0.607
1,0.033,7,car,202.2,440.6,294.8,497.9,248.5,469.2,0.511
1,0.033,8,car,678.4,304.8,704.7,327.5,691.6,316.2,0.455
2,0.067,1,car,737.2,404.1,794.2,459.2,765.7,431.7,0.775
2,0.067,2,car,376.3,413.3,433.8,464.4,405.1,438.8,0.724
2,0.067,3,car,856.4,435.1,929.8,497.8,893.1,466.4,0.717
2,0.067,4,car,535.3,361.9,574.8,400.2,555.0,381.1,0.623
2,0.067,5,truck,751.3,272.6,807.9,331.1,779.6,301.9,0.62
2,0.067,6,car,298.3,668.7,440.8,719.6,369.6,694.1,0.607
2,0.067,7,car,202.2,440.6,294.8,497.9,248.5,469.2,0.511
2,0.067,8,car,678.4,304.8,704.7,327.5,691.6,316.2,0.456
3,0.1,1,car,737.2,404.1,794.2,459.2,765.7,431.7,0.775
3,0.1,2,car,376.3,413.3,433.8,464.4,405.1,438.8,0.724
3,0.1,3,car,856.4,435.1,929.8,497.8,893.1,466.4,0.717
3,0.1,4,car,535.3,361.9,574.8,400.2,555.0,381.1,0.623
3,0.1,5,truck,751.3,272.6,807.9,331.1,779.6,301.9,0.62
3,0.1,6,car,298.3,668.7,440.8,719.6,369.6,694.1,0.607
3,0.1,7,car,202.2,440.6,294.8,497.9,248.5,469.2,0.511
3,0.1,8,car,678.4,304.8,704.7,327.5,691.6,316.2,0.456
4,0.133,1,car,739.3,407.9,797.7,464.4,768.5,436.2,0.849
4,0.133,2,car,379.0,411.0,436.0,461.5,407.5,436.3,0.703
4,0.133,3,car,862.6,440.4,939.1,505.8,900.8,473.1,0.749
4,0.133,4,car,535.4,361.4,574.8,399.7,555.1,380.5,0.631
4,0.133,5,truck,751.4,272.4,809.0,331.9,780.2,302.1,0.666
4,0.133,6,car,291.2,661.0,453.9,719.4,372.6,690.2,0.686
4,0.133,8,car,679.5,306.2,704.8,327.8,692.1,317.0,0.481
5,0.167,1,car,742.7,412.3,804.6,472.2,773.6,442.2,0.849
5,0.167,2,car,384.1,409.2,440.3,458.8,412.2,434.0,0.746
5,0.167,3,car,871.5,448.4,950.3,515.7,910.9,482.0,0.691
5,0.167,4,car,535.8,360.9,575.1,398.9,555.5,379.9,0.649
5,0.167,5,truck,752.5,272.6,810.6,332.5,781.6,302.6,0.635
5,0.167,6,car,278.9,650.1,470.3,719.8,374.6,684.9,0.701
5,0.167,8,car,680.4,308.0,705.4,329.4,692.9,318.7,0.462
5,0.167,7,car,211.1,436.4,301.9,492.5,256.5,464.5,0.604
6,0.2,1,car,745.4,416.5,811.0,480.1,778.2,448.3,0.763
6,0.2,2,car,388.6,407.7,444.0,456.0,416.3,431.8,0.821
6,0.2,3,car,879.9,456.7,962.0,526.8,921.0,491.8,0.781
6,0.2,4,car,536.3,360.5,575.2,398.1,555.8,379.3,0.708
6,0.2,5,truck,753.7,272.9,812.6,333.4,783.1,303.1,0.645
6,0.2,6,car,272.8,641.0,484.4,719.5,378.6,680.2,0.666
6,0.2,8,car,680.2,309.5,706.1,331.5,693.2,320.5,0.509
6,0.2,9,car,1073.7,517.3,1219.6,626.8,1146.6,572.1,0.528
