vehicle_id,frame,speed_kmh,lane_id,class
1,4,40.99,right_carriageway_lane1,car
1,5,54.19,right_carriageway_lane1,car
1,6,52.71,right_carriageway_lane1,car
1,7,64.64,right_carriageway_lane1,car
1,8,67.13,right_carriageway_lane1,car
1,9,23.46,right_carriageway_lane1,car
1,10,57.42,right_carriageway_lane1,car
1,11,60.79,right_carriageway_lane1,car
1,12,65.51,right_carriageway_lane1,car
1,13,58.34,right_carriageway_lane1,car
1,14,82.1,right_carriageway_lane1,car
1,15,30.53,right_carriageway_lane1,car
1,16,61.66,right_carriageway_lane1,car
1,17,64.39,right_carriageway_lane1,car
1,18,74.13,right_carriageway_lane1,car
1,19,80.99,right_carriageway_lane1,car
1,20,75.68,right_carriageway_lane1,car
1,21,28.37,right_carriageway_lane1,car
1,22,70.1,right_carriageway_lane1,car
1,23,78.92,right_carriageway_lane1,car
1,24,59.78,right_carriageway_lane1,car
1,25,50.76,right_carriageway_lane1,car
1,26,44.2,right_carriageway_lane1,car
2,4,22.73,unknown,car
2,5,24.78,unknown,car
2,6,23.14,unknown,car
2,7,21.7,unknown,car
2,8,22.92,unknown,car
2,12,20.78,unknown,car
2,13,27.76,unknown,car
2,14,20.37,unknown,car
2,19,23.85,unknown,car
2,20,28.26,unknown,car
2,23,20.47,unknown,car
2,25,21.63,unknown,car
2,31,26.14,unknown,car
2,32,22.81,unknown,car
2,38,20.31,unknown,car
2,44,21.35,unknown,car
2,48,24.45,unknown,car
2,49,26.17,unknown,car
2,50,20.84,unknown,car
2,56,33.19,unknown,car
2,65,25.92,unknown,car
2,66,23.11,unknown,car
2,79,21.43,unknown,car
2,80,21.71,unknown,car
2,91,133.97,unknown,car
2,108,32.48,unknown,car
2,109,21.24,unknown,car
2,121,111.48,unknown,car
2,122,20.51,unknown,car
3,4,51.16,right_carriageway_lane2,car
3,5,65.16,right_carriageway_lane2,car
3,6,67.59,right_carriageway_lane2,car
3,7,71.24,right_carriageway_lane2,car
3,8,79.89,right_carriageway_lane2,car
3,9,29.73,right_carriageway_lane2,car
3,10,63.37,right_carriageway_lane2,car
3,11,72.45,right_carriageway_lane2,car
3,12,78.65,right_carriageway_lane2,car
3,13,79.09,right_carriageway_lane2,car
3,14,86.69,right_carriageway_lane2,car
3,15,31.85,right_carriageway_lane2,car
3,16,70.26,right_carriageway_lane2,car
3,17,83.66,right_carriageway_lane2,car
3,18,74.66,right_carriageway_lane3,car
3,19,46.5,unknown,car
3,20,51.97,unknown,car
4,8,27.48,unknown,car
